"Spp","Long","Lat"
"Caiman latirostris",-63.586119,-21.472014
"Caiman latirostris",-45.439999,-19.74
"Caiman latirostris",-59.183958,-28.511204
"Caiman latirostris",-42.770316,-22.453521
"Caiman latirostris",-59.226337,-28.505743
"Caiman latirostris",-58.850963,-29.160888
"Caiman latirostris",-41.025095,-21.774226
"Caiman latirostris",-54.470443,-25.685186
"Caiman latirostris",-59.215634,-27.423546
"Caiman latirostris",-58.229737,-31.874245
"Caiman latirostris",-43.230087,-22.904501
"Caiman latirostris",-60.442222,-26.833828
"Caiman latirostris",-35.40656,-5.286177
"Caiman latirostris",-43.36775,-22.995594
"Caiman latirostris",-54.446098,-25.686957
"Caiman latirostris",-58.654912,-28.75119
"Caiman latirostris",-43.369641,-22.995719
"Caiman latirostris",-58.993692,-27.722024
"Caiman latirostris",-43.369766,-22.995788
"Caiman latirostris",-48.099722,-21.72
"Caiman latirostris",-47.521856,-22.413508
"Caiman latirostris",-58.993254,-27.378555
"Caiman latirostris",-54.445051,-25.685031
"Caiman latirostris",-57.372254,-28.3326
"Caiman latirostris",-43.039444,-22.952134
"Caiman latirostris",-48.516001,-27.589552
"Caiman latirostris",-39.094701,-14.449075
"Caiman latirostris",-43.37431,-22.999107
"Caiman latirostris",-43.370438,-22.996919
"Caiman latirostris",-59.261771,-28.505645
"Caiman latirostris",-54.465722,-25.64307
"Caiman latirostris",-40.750066,-20.635577
"Caiman latirostris",-54.449626,-25.682217
"Caiman latirostris",-58.267363,-31.862975
"Caiman latirostris",-54.448518,-25.688445
"Caiman latirostris",-54.440544,-25.701082
"Caiman latirostris",-54.446695,-25.683925
"Caiman latirostris",-54.454701,-25.683187
"Caiman latirostris",-54.441204,-25.70434
"Caiman latirostris",-43.371736,-22.996414
"Caiman latirostris",-57.32945,-28.42914
"Caiman latirostris",-43.115221,-22.885897
"Caiman latirostris",-43.498861,-23.023022
"Caiman latirostris",-42.7705,-22.4523
"Caiman latirostris",-54.440816,-25.690864
"Caiman latirostris",-64.519567,-23.743804
"Caiman latirostris",-47.3015,-22.2088
"Caiman latirostris",-43.471856,-23.022705
"Caiman latirostris",-57.42129,-28.688682
"Caiman latirostris",-34.944966,-8.25006
"Caiman latirostris",-54.45243,-25.678309
"Caiman latirostris",-60.634415,-32.121776
"Caiman latirostris",-42.770323,-22.453513
"Caiman latirostris",-42.225203,-14.504409
"Caiman latirostris",-42.774667,-22.448372
"Caiman latirostris",-43.368112,-22.995903
"Caiman latirostris",-59.021205,-29.677355
"Caiman latirostris",-40.070808,-19.151376
"Caiman latirostris",-42.774496,-22.448264
"Caiman latirostris",-60.673174,-31.63721
"Caiman latirostris",-61.191535,-30.187439
"Caiman latirostris",-56.449898,-27.588625
"Caiman latirostris",-58.193917,-26.344231
"Caiman latirostris",-57.11297,-27.946125
"Caiman latirostris",-64.529757,-23.713693
"Caiman latirostris",-58.938742,-26.179827
"Caiman latirostris",-57.198505,-28.548571
"Caiman latirostris",-57.204949,-28.543567
"Caiman latirostris",-42.773021,-22.452323
"Caiman latirostris",-42.773,-22.4519
"Caiman latirostris",-48.516321,-27.589809
"Caiman latirostris",-58.259091,-31.864515
"Caiman latirostris",-47.854367,-21.258887
"Caiman latirostris",-58.032554,-28.013913
"Caiman latirostris",-58.028176,-28.017399
"Caiman latirostris",-54.445698,-25.687515
"Caiman latirostris",-40.258775,-20.258372
"Caiman latirostris",-63.45807,-21.260005
"Caiman latirostris",-47.522647,-22.414188
"Caiman latirostris",-47.743649,-21.091996
"Caiman latirostris",-50.132204,-29.964018
"Caiman latirostris",-47.745022,-21.084308
"Caiman latirostris",-47.756008,-21.099683
"Caiman latirostris",-48.03604,-21.494923
"Caiman latirostris",-42.969141,-16.628353
"Caiman latirostris",-42.77355,-22.448921
"Caiman latirostris",-54.451119,-25.682508
"Caiman latirostris",-56.509832,-20.190446
"Caiman latirostris",-54.42994,-25.657726
"Caiman latirostris",-42.773038,-22.451872
"Caiman latirostris",-42.771552,-22.452574
"Caiman latirostris",-42.772988,-22.451861
"Caiman latirostris",-42.772717,-22.449081
"Caiman latirostris",-42.772586,-22.452769
"Caiman latirostris",-42.7725,-22.4517
"Caiman latirostris",-42.772808,-22.448783
"Caiman latirostris",-61.156729,-30.205614
"Caiman latirostris",-58.941309,-26.180253
"Caiman latirostris",-42.772773,-22.451597
"Caiman latirostris",-54.445217,-25.68601
"Caiman latirostris",-42.665192,-19.834256
"Caiman latirostris",-48.244184,-21.906223
"Caiman latirostris",-54.447945,-25.691157
"Caiman latirostris",-34.926199,-7.222533
"Caiman latirostris",-54.431252,-25.674046
"Caiman latirostris",-47.521845,-22.413508
"Caiman latirostris",-54.458194,-25.648225
"Caiman latirostris",-54.442403,-25.688334
"Caiman latirostris",-52.58132,-32.499087
"Caiman latirostris",-43.319161,-22.999117
"Caiman latirostris",-51.098664,-23.255697
"Caiman latirostris",-54.452771,-25.690436
"Caiman latirostris",-61.21952,-30.307185
"Caiman latirostris",-59.145659,-28.51795
"Caiman latirostris",-50.254313,-29.8887
"Caiman latirostris",-58.82274,-26.304178
"Caiman latirostris",-54.440214,-25.697778
"Caiman latirostris",-60.637871,-32.06971
"Caiman latirostris",-54.333579,-25.578988
"Caiman latirostris",-54.442975,-25.700209
"Caiman latirostris",-57.428426,-28.65557
"Caiman latirostris",-57.428099,-28.655645
"Caiman latirostris",-47.525055,-22.414831
"Caiman latirostris",-58.03202,-28.012932
"Caiman latirostris",-54.441578,-25.698776
"Caiman latirostris",-54.453196,-25.682442
"Caiman latirostris",-47.545245,-22.286674
"Caiman latirostris",-47.540889,-22.263834
"Caiman latirostris",-40.259167,-20.259444
"Caiman latirostris",-43.038653,-22.950849
"Caiman latirostris",-54.5491,-25.6038
"Caiman latirostris",-43.368195,-22.995929
"Caiman latirostris",-54.444286,-25.700729
"Caiman latirostris",-60.74045,-28.603355
"Caiman latirostris",-54.444891,-25.674126
"Caiman latirostris",-61.097573,-28.813204
"Caiman latirostris",-57.434398,-28.659808
"Caiman latirostris",-57.097736,-28.540164
"Caiman latirostris",-57.111281,-28.530868
"Caiman latirostris",-59.184766,-30.386722
"Caiman latirostris",-54.451157,-25.682505
"Caiman latirostris",-57.170448,-28.567503
"Caiman latirostris",-48.510639,-27.597642
"Caiman latirostris",-58.231975,-31.855455
"Caiman latirostris",-60.67397,-31.638237
"Caiman latirostris",-54.453609,-25.679167
"Caiman latirostris",-57.096189,-28.552454
"Caiman latirostris",-54.447932,-25.682709
"Caiman latirostris",-52.893281,-30.033482
"Caiman latirostris",-56.5531,-29.1253
"Caiman latirostris",-50.506052,-30.260067
"Caiman latirostris",-43.450601,-23.020755
"Caiman latirostris",-54.468445,-25.710687
"Caiman latirostris",-42.77276,-22.449345
"Caiman latirostris",-42.772888,-22.448237
"Caiman latirostris",-43.391338,-22.845615
"Caiman latirostris",-54.387882,-25.594046
"Caiman latirostris",-57.172717,-28.53494
"Caiman latirostris",-60.68,-32.14
"Caiman latirostris",-58.0286,-28.018
"Caiman latirostris",-58.099,-28.054
"Caiman latirostris",-54.18132,-25.58697
"Caiman latirostris",-54.1776,-25.5868
"Caiman latirostris",-59.6283,-26.8634
"Caiman latirostris",-59.62692,-26.86793
"Caiman latirostris",-59.627,-26.87418
"Caiman latirostris",-59.62638,-26.86816
"Caiman latirostris",-59.61855,-26.78713
"Caiman latirostris",-59.62596,-26.86226
"Caiman latirostris",-58.767195,-27.748967
"Caiman latirostris",-57.272518,-27.679614
"Caiman latirostris",-57.945447,-26.052222
"Caiman latirostris",-57.154795,-28.81857
"Caiman latirostris",-54.438243,-25.694873
"Caiman latirostris",-57.174259,-28.535967
"Caiman latirostris",-54.455109,-25.682994
"Caiman latirostris",-54.439223,-25.696914
"Caiman latirostris",-57.184531,-28.588078
"Caiman latirostris",-43.450632,-23.020711
"Caiman latirostris",-44.634,-15.668
"Caiman latirostris",-45.444,-19.743
"Caiman latirostris",-42.77,-17.135
"Caiman latirostris",-42.621,-19.76
"Caiman latirostris",-43.165,-16.994
"Caiman latirostris",-44.298,-18.179
"Caiman latirostris",-53.851,-25.483
"Caiman latirostris",-44.298,-18.18
"Caiman latirostris",-41.111,-19.392
"Caiman latirostris",-42.597,-19.778
"Caiman latirostris",-43.656,-16.276
"Caiman latirostris",-58.855141,-26.186782
"Caiman latirostris",-54.460173,-25.683574
"Caiman latirostris",-58.10148,-27.922366
"Caiman latirostris",-54.256221,-25.937071
"Caiman latirostris",-59.512925,-30.057785
"Caiman latirostris",-59.457279,-28.242221
"Caiman latirostris",-64.073264,-23.300057
"Caiman latirostris",-58.512537,-34.461606
"Caiman latirostris",-57.858095,-28.681721
"Caiman latirostris",-59.126706,-26.495875
"Caiman latirostris",-56.5055,-20.1906
"Caiman latirostris",-42.773385,-22.451411
"Caiman latirostris",-60.187874,-25.646555
"Caiman latirostris",-57.170437,-28.567509
"Caiman latirostris",-56.26273,-27.133281
"Caiman latirostris",-44.927144,-17.337368
"Caiman latirostris",-44.930423,-12.005706
"Caiman latirostris",-43.140079,-11.090703
"Caiman latirostris",-44.230588,-11.735415
"Caiman latirostris",-44.95461,-17.336057
"Caiman latirostris",-44.24784,-11.748566
"Caiman latirostris",-44.954953,-17.338187
"Caiman latirostris",-45.071796,-16.384905
"Caiman latirostris",-58.826502,-28.840507
"Caiman latirostris",-43.416667,-13.25
"Caiman latirostris",-59.262564,-29.14003
"Caiman latirostris",-59.372914,-26.308078
"Caiman latirostris",-45.039655,-12.192385
"Caiman latirostris",-48.833333,-26.3
"Caiman latirostris",-61.190861,-30.187716
"Caiman latirostris",-60.674465,-31.635872
"Caiman latirostris",-58.985113,-27.15335
"Caiman latirostris",-47.631314,-22.744235
"Caiman latirostris",-48.516423,-27.596072
"Caiman latirostris",-48.0490844,-21.766679
"Caiman latirostris",-51.707361,-20.993472
"Caiman latirostris",-48.516326,-27.597305
"Caiman latirostris",-42.771667,-22.4525
"Caiman latirostris",-57.20224,-28.528613
"Caiman latirostris",-57.166672,-28.518779
"Caiman latirostris",-58.915833,-26.471944
"Caiman latirostris",-60.833333,-29.966667
"Caiman latirostris",-59.443245,-29.852258
"Caiman latirostris",-58.769989,-26.156671
"Caiman latirostris",-54.446,-25.688921
"Caiman latirostris",-54.06636,-25.586962
"Caiman latirostris",-58.791558,-26.905403
"Caiman latirostris",-47.56139,-22.41139
"Caiman latirostris",-59.184122,-30.386426
"Caiman latirostris",-47.412673,-23.476689
"Caiman latirostris",-40.600278,-19.935556
"Caiman latirostris",-57.5629,-31.3862
"Caiman latirostris",-54.4376,-25.716096
"Caiman latirostris",-59.184508,-30.386648
"Caiman latirostris",-51.1167,-20.65
"Caiman latirostris",-39.862631,-18.720196
"Caiman latirostris",-57.934723,-26.748832
"Caiman latirostris",-43.23333,-22.9
"Caiman latirostris",-39.85,-18.73333
"Caiman latirostris",-57.54,-30.89
"Caiman latirostris",-34.9,-8.05
"Caiman latirostris",-54.38333,-30.25
"Caiman latirostris",-57.5629,-31.3862
"Caiman latirostris",-35.30324444,-5.705966667
"Caiman latirostris",-54.4167,-25.7167
"Caiman latirostris",-40.600278,-19.935556
"Caiman latirostris",-58.9441667,-26.1813889
"Caiman latirostris",-48.099722,-21.72
